dia,mag,err
1.1855658000000604,15.945,0.01
2.073581200000044,16.122,0.011
3.1178211999999887,16.191,0.011
4.067201200000008,15.904000000000002,0.01
0.0806466000000432,16.2,0.011
0.9942766000000552,15.892,0.01
3.014566599999987,16.23,0.011
5.9776166000000535,16.226,0.011
0.9446120000000384,15.892,0.011
2.002762000000107,16.108,0.012
3.001122000000155,16.241,0.012
0.8971328000000636,15.864,0.008
5.880132800000012,16.230999999999998,0.011
1.7750281999999045,16.057000000000002,0.012
5.838478200000008,16.239,0.011
2.7279036000000687,16.223,0.01
0.5200344000000872,15.800999999999998,0.01
3.618784399999969,15.816,0.01
5.623454400000003,16.187,0.014
0.5604998000001151,15.805,0.01
2.5735698000000857,16.203,0.011
4.456085200000086,15.989,0.01
1.4411060000001383,15.992,0.011
3.312726000000032,16.023,0.01
5.268406000000061,16.136,0.012
1.2742014000000834,15.968,0.012
3.279201400000193,16.051,0.01
5.344251400000121,16.156,0.01
1.2861168000001155,15.979,0.011
3.2862867999999135,16.032,0.01
5.220986799999935,16.132,0.011
0.17720220000007902,16.129,0.012
3.1450422000001033,16.178,0.01
0.21805760000003185,16.078,0.01
4.1360176000000255,15.911,0.01
1.0467629999999195,15.901,0.01
3.0803130000000243,16.213,0.011
5.129243000000179,16.11,0.01
1.02767840000023,15.908,0.01
3.016068399999984,16.232,0.011
5.080948400000113,16.105,0.01
0.05689380000001254,16.195999999999998,0.011
1.8764038000000487,16.077,0.01
3.8933037999999,15.865,0.01
3.843869200000212,15.852,0.011
5.823999199999903,16.222,0.014
2.7819746000001495,16.223,0.014
0.7194800000000114,15.83,0.011
2.7537299999999405,16.225,0.012
3.761649999999953,15.834,0.011
4.58774999999995,16.008,0.011
5.6558100000000096,16.203,0.011
0.6685953999998917,15.821,0.011
2.605855400000043,16.209,0.014
4.576505400000022,16.018,0.011
0.6118607999999899,15.804,0.01
1.4914807999999216,16.005,0.012
3.4997708000001366,15.81,0.01
4.506820800000074,15.983,0.011
3.541636200000041,15.797,0.01
0.3880016000001341,15.883,0.01
2.371911600000057,16.184,0.018000000000000002
3.473911600000146,15.834,0.011
0.31930699999996026,15.954,0.011
1.3927169999999274,15.964,0.011
2.3364470000001143,16.156,0.012
4.3049970000001645,15.965,0.012
0.3846024000000536,15.876,0.011
1.352312399999951,15.979,0.012
4.30687240000008,15.961,0.012
1.205957800000081,15.943,0.011
2.2389577999999832,16.144000000000002,0.014
4.2705778000001855,15.94,0.011
1.201833200000138,15.945,0.01
5.192243200000021,16.133,0.015
1.139218600000075,15.925999999999998,0.014
2.1552885999999747,16.116,0.014
4.022914000000052,15.890999999999998,0.012
0.9507493999999984,15.888,0.011
3.9587993999999114,15.879,0.012
0.8189102000001904,15.857,0.012
0.8550156000000849,15.847,0.011
4.801095600000023,16.057000000000002,0.014
3.724711000000165,15.822,0.011
0.7008964000001399,15.825,0.011
1.605301800000125,16.022000000000002,0.015
4.588011800000122,16.012999999999998,0.014
0.5753872000000388,15.803,0.011
5.483032600000029,16.156,0.014
2.8946644000000066,16.230999999999998,0.012
4.891244400000228,16.081,0.012
0.8843298000000539,15.867,0.01
2.8770198000000926,16.236,0.012
5.916009800000105,16.247,0.014
2.752525200000056,16.243,0.016
0.6714906000001148,15.829,0.014
1.762230600000211,16.049,0.014
2.6256260000000538,16.22,0.015
5.611556000000106,16.199,0.015
0.6783414000000763,15.822,0.01
1.5589613999999845,16.024,0.011
2.52472140000003,16.184,0.012
0.4255222000001231,15.849,0.01
4.519972200000175,15.996,0.011
1.3898775999999522,15.975,0.011
4.452097599999977,15.997,0.011
1.4016030000002369,15.972,0.01
4.394383000000048,15.983,0.011
2.278318400000101,16.137,0.012
4.220278399999982,15.937,0.011
0.20887380000000189,16.097,0.011
3.1300337999998744,16.177,0.012
5.2705638000000015,16.129,0.011
2.1060592000000256,16.118,0.014
4.212899200000173,15.933,0.011
0.0541246000000557,16.209,0.014
1.1707145999999158,15.925,0.01
2.03227459999997,16.119,0.011
2.9977346000000913,16.224,0.011
4.0803946000001226,15.915,0.011
5.114424599999926,16.117,0.012
1.0740800000000252,15.911,0.011
3.119880000000125,16.180999999999994,0.011
4.991740000000093,16.085,0.011
0.9622554000000596,15.883,0.01
2.962925400000187,16.238,0.012
3.96310539999996,15.883,0.011
5.939035400000023,16.235,0.012
1.9495808000001027,16.08,0.011
2.8755208000001846,16.236,0.011
4.000960799999984,15.885,0.01
5.8929007999999605,16.23,0.012
0.7404116000002201,15.831,0.01
3.696261600000048,15.817,0.01
4.850601600000095,16.074,0.011
0.6981070000000384,15.824000000000002,0.01
2.722777000000053,16.224,0.014
3.7244369999999543,15.826,0.008
4.7015670000001695,16.038,0.011
1.6761124000001928,16.035999999999998,0.01
2.6090624000000844,16.187,0.012
3.6327524000000717,15.811,0.01
4.611372400000164,16.023,0.01
5.6358324000000275,16.189,0.012
0.5551778000000356,15.811,0.01
4.546887800000047,15.993,0.011
2.411223200000018,16.165,0.015
0.4330986000001422,15.85,0.01
3.442758600000082,15.86,0.01
1.4023540000001056,15.987,0.011
4.442673999999943,15.982,0.012
0.3986494000000116,15.87,0.01
2.3331594000000573,16.165,0.012
5.323939400000143,16.153,0.012
2.2723948000000984,16.141,0.012
5.236244799999963,16.137999999999998,0.016
